date,week,year,carrier,route,buses,passengers,date_parsed,month,quarter,week_of_year,day_of_year,month_name
28/12 - 31/12,Week 53,2020,C & J Bus Lines,commuter,1.0,6.0,2020-12-28,12.0,4.0,53,363.0,December
28/12 - 31/12,Week 53,2020,Peter Pan/Bonanza,intercity,10.0,275.0,2020-12-28,12.0,4.0,53,363.0,December
28/12 - 31/12,Week 53,2020,TransBridge,commuter,12.0,224.0,2020-12-28,12.0,4.0,53,363.0,December
28/12 - 31/12,Week 53,2020,Trailways,intercity,11.0,227.0,2020-12-28,12.0,4.0,53,363.0,December
28/12 - 31/12,Week 53,2020,Coach USA,commuter,80.0,1316.0,2020-12-28,12.0,4.0,53,363.0,December
28/12 - 31/12,Week 53,2020,NJ Transit,commuter,2001.0,22446.0,2020-12-28,12.0,4.0,53,363.0,December
28/12 - 31/12,Week 53,2020,Martz,commuter,13.0,429.0,2020-12-28,12.0,4.0,53,363.0,December
28/12 - 31/12,Week 53,2020,Greyhound,intercity,36.0,977.0,2020-12-28,12.0,4.0,53,363.0,December
28/12 - 31/12,Week 53,2020,Academy,commuter,0.0,0.0,2020-12-28,12.0,4.0,53,363.0,December
28/12 - 31/12,Week 53,2020,Lakeland,commuter,12.0,224.0,2020-12-28,12.0,4.0,53,363.0,December
1/1 - 5/2,Week 5,2021,Martz,commuter,13.0,444.0,2021-01-01,1.0,1.0,53,1.0,January
1/1 - 5/2,Week 5,2021,NJ Transit,commuter,2071.0,25001.0,2021-01-01,1.0,1.0,53,1.0,January
1/1 - 5/2,Week 5,2021,Lakeland,commuter,12.0,272.0,2021-01-01,1.0,1.0,53,1.0,January
1/1 - 5/2,Week 5,2021,Trailways,intercity,10.0,221.0,2021-01-01,1.0,1.0,53,1.0,January
1/1 - 5/2,Week 5,2021,Coach USA,commuter,84.0,1533.0,2021-01-01,1.0,1.0,53,1.0,January
1/1 - 5/2,Week 5,2021,TransBridge,commuter,12.0,316.0,2021-01-01,1.0,1.0,53,1.0,January
1/1 - 5/2,Week 5,2021,Peter Pan/Bonanza,intercity,9.0,250.0,2021-01-01,1.0,1.0,53,1.0,January
1/1 - 5/2,Week 5,2021,HCEE - Community,commuter,76.0,1123.0,2021-01-01,1.0,1.0,53,1.0,January
1/1 - 5/2,Week 5,2021,Academy,commuter,35.0,569.0,2021-01-01,1.0,1.0,53,1.0,January
1/1 - 5/2,Week 5,2021,Greyhound,intercity,36.0,996.0,2021-01-01,1.0,1.0,53,1.0,January
4/1 - 8/1,Week 1,2021,HCEE - Community,commuter,75.0,1153.0,2021-01-04,1.0,1.0,1,4.0,January
4/1 - 8/1,Week 1,2021,Academy,commuter,37.0,590.0,2021-01-04,1.0,1.0,1,4.0,January
4/1 - 8/1,Week 1,2021,Greyhound,intercity,34.0,900.0,2021-01-04,1.0,1.0,1,4.0,January
4/1 - 8/1,Week 1,2021,Martz,commuter,13.0,456.0,2021-01-04,1.0,1.0,1,4.0,January
4/1 - 8/1,Week 1,2021,NJ Transit,commuter,2146.0,25865.0,2021-01-04,1.0,1.0,1,4.0,January
4/1 - 8/1,Week 1,2021,Lakeland,commuter,12.0,272.0,2021-01-04,1.0,1.0,1,4.0,January
4/1 - 8/1,Week 1,2021,Trailways,intercity,10.0,214.0,2021-01-04,1.0,1.0,1,4.0,January
4/1 - 8/1,Week 1,2021,TransBridge,commuter,12.0,315.0,2021-01-04,1.0,1.0,1,4.0,January
4/1 - 8/1,Week 1,2021,Peter Pan/Bonanza,intercity,9.0,260.0,2021-01-04,1.0,1.0,1,4.0,January
4/1 - 8/1,Week 1,2021,Coach USA,commuter,83.0,1604.0,2021-01-04,1.0,1.0,1,4.0,January
11/1 - 15/1,Week 2,2021,TransBridge,commuter,12.0,319.0,2021-01-11,1.0,1.0,2,11.0,January
11/1 - 15/1,Week 2,2021,Coach USA,commuter,84.0,1611.0,2021-01-11,1.0,1.0,2,11.0,January
11/1 - 15/1,Week 2,2021,Trailways,intercity,10.0,190.0,2021-01-11,1.0,1.0,2,11.0,January
11/1 - 15/1,Week 2,2021,Lakeland,commuter,12.0,276.0,2021-01-11,1.0,1.0,2,11.0,January
11/1 - 15/1,Week 2,2021,NJ Transit,commuter,2078.0,26156.0,2021-01-11,1.0,1.0,2,11.0,January
11/1 - 15/1,Week 2,2021,Martz,commuter,13.0,470.0,2021-01-11,1.0,1.0,2,11.0,January
11/1 - 15/1,Week 2,2021,Greyhound,intercity,32.0,810.0,2021-01-11,1.0,1.0,2,11.0,January
11/1 - 15/1,Week 2,2021,Academy,commuter,37.0,564.0,2021-01-11,1.0,1.0,2,11.0,January
11/1 - 15/1,Week 2,2021,Peter Pan/Bonanza,intercity,9.0,236.0,2021-01-11,1.0,1.0,2,11.0,January
11/1 - 15/1,Week 2,2021,HCEE - Community,commuter,86.0,1145.0,2021-01-11,1.0,1.0,2,11.0,January
18/1 - 22/1,Week 3,2021,Lakeland,commuter,12.0,268.0,2021-01-18,1.0,1.0,3,18.0,January
18/1 - 22/1,Week 3,2021,Martz,commuter,13.0,470.0,2021-01-18,1.0,1.0,3,18.0,January
18/1 - 22/1,Week 3,2021,Academy,commuter,36.0,578.0,2021-01-18,1.0,1.0,3,18.0,January
18/1 - 22/1,Week 3,2021,Greyhound,intercity,34.0,875.0,2021-01-18,1.0,1.0,3,18.0,January
18/1 - 22/1,Week 3,2021,NJ Transit,commuter,2033.0,23777.0,2021-01-18,1.0,1.0,3,18.0,January
18/1 - 22/1,Week 3,2021,Trailways,intercity,10.0,194.0,2021-01-18,1.0,1.0,3,18.0,January
18/1 - 22/1,Week 3,2021,Coach USA,commuter,84.0,1540.0,2021-01-18,1.0,1.0,3,18.0,January
18/1 - 22/1,Week 3,2021,TransBridge,commuter,12.0,331.0,2021-01-18,1.0,1.0,3,18.0,January
18/1 - 22/1,Week 3,2021,Peter Pan/Bonanza,intercity,9.0,257.0,2021-01-18,1.0,1.0,3,18.0,January
18/1 - 22/1,Week 3,2021,HCEE - Community,commuter,76.0,1123.0,2021-01-18,1.0,1.0,3,18.0,January
25/1 - 29/1,Week 4,2021,Academy,commuter,35.0,569.0,2021-01-25,1.0,1.0,4,25.0,January
25/1 - 29/1,Week 4,2021,Greyhound,intercity,33.0,881.0,2021-01-25,1.0,1.0,4,25.0,January
25/1 - 29/1,Week 4,2021,Peter Pan/Bonanza,intercity,9.0,227.0,2021-01-25,1.0,1.0,4,25.0,January
25/1 - 29/1,Week 4,2021,TransBridge,commuter,12.0,315.0,2021-01-25,1.0,1.0,4,25.0,January
25/1 - 29/1,Week 4,2021,Coach USA,commuter,84.0,1597.0,2021-01-25,1.0,1.0,4,25.0,January
25/1 - 29/1,Week 4,2021,Martz,commuter,13.0,434.0,2021-01-25,1.0,1.0,4,25.0,January
25/1 - 29/1,Week 4,2021,Trailways,intercity,10.0,203.0,2021-01-25,1.0,1.0,4,25.0,January
25/1 - 29/1,Week 4,2021,Lakeland,commuter,12.0,272.0,2021-01-25,1.0,1.0,4,25.0,January
25/1 - 29/1,Week 4,2021,NJ Transit,commuter,2052.0,26578.0,2021-01-25,1.0,1.0,4,25.0,January
25/1 - 29/1,Week 4,2021,HCEE - Community,commuter,76.0,1123.0,2021-01-25,1.0,1.0,4,25.0,January
8/2 - 12/2,Week 6,2021,HCEE - Community,commuter,75.0,935.0,2021-02-08,2.0,1.0,6,39.0,February
8/2 - 12/2,Week 6,2021,Peter Pan/Bonanza,intercity,10.0,288.0,2021-02-08,2.0,1.0,6,39.0,February
8/2 - 12/2,Week 6,2021,TransBridge,commuter,12.0,324.0,2021-02-08,2.0,1.0,6,39.0,February
8/2 - 12/2,Week 6,2021,Coach USA,commuter,84.0,1572.0,2021-02-08,2.0,1.0,6,39.0,February
8/2 - 12/2,Week 6,2021,Trailways,intercity,10.0,199.0,2021-02-08,2.0,1.0,6,39.0,February
